瞓觉为真	睡觉才是
都系工作，冇话乜嘢人尾嘅	都是工作，不能说什么是低下的。
一日有两文人工	一天有两元工资
支人工	发工资。
冇人工去做	没工夫去做。
个柜人工几好呀	这个柜子的工艺不错呀。
佢咁可怜，大家会帮佢嘅，人心肉做吖嘛	他这么可怜，大家会帮助他的，人应有同情心嘛。
人老精鬼老灵，你扭佢唔过嘅	姜还是老的辣，你算计不过他的。
人讲你又讲，啱唔啱你都唔知到	人云亦云，对不对你都不知道。
人话嗰度啲叉烧包好食	人家说那里的叉烧包好吃
人话你又话	人家说你也跟着说。
呢两个月佢人间消失咯	这两个月不见他露面了。
人面熟，好做好多	熟人多，容易做得多
唔系话人面熟就得㗎	不是说认识人多就能行的。
萝卜仁	萝卜种子。
榄仁	橄榄仁儿
五仁月饼	有五种瓜果仁和猪肉做馅的月饼。
仆低	趴下
仆喺张台度	趴在桌子上
仆住瞓	趴着睡。
呢件事佢都仆心仆命去做嘅嘞	这件事他已经尽心尽力去做了
佢做嘢总系仆心仆命嘅	他干事情总是尽心竭力的。
将个面盆仆转过嚟	把脸盆扣过来。
佢哋以前有仇口	他们过去有积怨。
今次	这次
今回	这回。
今时还今时，往日还往日	现在是现在，过去是过去。
佢有两个仔	他有两个儿子。
呢个仔真叻	这个男孩真聪明。
鸡仔	小鸡儿
樽仔	瓶儿
歌仔	歌儿
亚雄仔	阿雄。
客仔	客户，顾客
耕仔	佃户
工仔	打工者。
两仔乸	母子俩。
佢个个仔女都好叻㗎	他的每一个孩子都很能干。
两仔爷	两父子; 爷儿俩。
佢做事够晒他条	他做事非常稳重。
每周先至六节课，几他条噃	每周才六节课，够清闲了。
睇过一仗	看过一次
呢仗又系佢第一	这一回又是他第一
一个仙屎都唔值	一个子儿都不值。
打仰瞓	仰着睡
仰喺度放	仰着放。
家家都有三件头	家家都有三大件儿
四件头五文鸡	四大件五块钱
飞发五毫子四件头	理发五毛钱四样儿———理发、洗头、吹干、上蜡。
两毫一件，任拣唔嬲	两毛钱一件，任君挑选
摆晒出嚟，任睇唔嬲	全摆出来，尽可以看个够
展览会说明书任攞唔嬲	展览会说明书可以随意拿。
佢嗰份人我怕晒嘞	他这人我真没办法了
你呢份人叫我点讲你好呢	你这个人叫我怎么说你好呢
我呢份人就系噉㗎嘞	我这个人就是这样子的了。
喺企	在家
翻企	回家。
企起身	站起来
企喺度	站在这儿。
啲书企起嚟放	书立着放。
竹竿放得太企，因住跌	竹竿立得太直了，小心倒下来。
企定喺处	站在那里。
你企定喺门口等佢啦	你先站在门口等他吧。
唔该企歪啲	请让开一点;借光!
间屋执得几企理	房子收拾得很整洁。
企起身，睇下你有几高	站起来，看看你有多高。
伊捞七都唔好制	一般来说都不好答应。
唔好伏喺台上面睇书	不要趴在桌子上面看书。
退咗休就优悠自在咯	退了休就悠然自在了
佢而家好优悠自在	他现在很闲适自在。
呢间屋住两伙人	这所房子住两户人家。
我会错意，其实我亦都系同意你嘅意见嘅	我误会了，其实我也是同意你的意见的。
你伯爷喺唔喺屋企	你父亲在家不在家?
你估我唔知呀	你以为我不知道? 
你估好容易㗎	你以为很容易的吗?
我随便估估下嘅嗻	我随便猜想罢了
佢估估下就估中咗	他随便猜猜就猜中了。
我估唔到你会畀咁多我	我想不到你会给我这么多。
你估话佢会唔会嚟呢	你猜想他会不会来呢?
似到极	像极了
佢似老母	她像母亲。
咁耐冇见过佢，唔认得都似㗎	那么久没有见过他，认不得都可能的
唔记得都似	很可能忘了。
佢讲得似层层，唔到你唔信	他说得好像真有其事，不由你不相信。
佢两兄弟好似样	他两兄弟很像
学得好似样	学得很像。
真唔似样	真不像话! 
你噉样搞法似样咩	你这样搞像话吗?
佢演老工人似模似样噃	他扮演老工人很像样!
佢似足佢老豆	他与他父亲像极了。
但凡十八岁以下，都唔准参加	凡是十八岁以下的都不准参加。
啱啱够位	座位刚刚够。
踎低	蹲下
解低佢	把他解下来。
唔使咁低威	不必妄自菲薄。
你攞住乜嘢	你拿着什么? 
等住佢	等着他。
两个人住埋一度	两个人住在一起。
打住家工	当家庭保姆。
佗仔	怀小孩
佢佗人有六个月咯	她怀孕有六个月了。
有个细路佗手褦脚，做事好唔方便	有个小孩拖住手脚，做事很不方便。
佗衰人	牵累了别人
成组畀佢佗衰晒	全组让他给拖累了。
呢个仔正一佗衰家	这个孩子真是败家子。
你噉搞法，佛都有火啦	你这样做，佛祖也忍受不了。
本书畀人作咗去	我的书被人拿走了。
作咗佢	把他干掉。
呢份人乜都作得出嚟	这号人什么都能编得出来。
食咗啲唔干净嘅嘢，想作呕	吃了不干净的东西，想吐。
睇佢打扮得咁难睇，真作呕	看她打扮得那么难看，真恶心。
你咪咁作死	你别那么捣蛋。
讲话唔好咁作状	说话别那么装腔作势
你越作状人哋越睇唔起你	你越装模作样，人家越瞧不起你。
佢想作病睇嘞	看来他要发病了。
你好嘢，认叻啦，得罪人咯	你行，逞能吧，得罪人家了
你好嘢，呢次你赢咗，下次再比过	有你的，这次你赢了，下次再赛一次。
赔咁少就算啦，你就想 	赔这么少就算了，开玩笑! 
一毫子两斤，你就想 	一毛钱两斤，你想得美!
细佬，你系得嘅 	老弟， 你真行! 
你系得嘅，我算服咗你	你行，我算服了你。
呢啲事你谂你嘞	这些事情你自己拿主意好了
你谂你，咪谂过隔篱	惯用语。你考虑你自己的事，别人的用不着你来费心
洗净件衫佢	把衣服洗干净
锁埋度门佢啦	把门锁上吧。
需要几多佣	要多少佣金?
补鞋佬	补鞋匠
猪肉佬	卖肉的
外江佬	外省人。
肥佬	胖子
补镬佬	补锅的。
呢张相片镶入嗰个镜架佮佮冚，唔大唔细	这张照片镶入那个镜框刚刚好，不大不小。
佢真会安排，乜都搞得佮佮掂	她真会安排，什么都搞得妥妥当当。
自己喐手，唔好使人	自己动手， 不要使唤别人。
使咗好多钱	花了很多钱。
借支笔畀我使下	借支笔给我用一下。
使唔使我去	需要我去吗?
使乜咁麻烦	何必那么麻烦
你使乜咁客气	你何必那么客气。
使乜你理	用不着你管
使乜你多嘴	不需要你多嘴。
使乜讲，肯定你唔啱	那还用说，肯定你不对。
使乜讲，系你唔啱嘅	不必再说了，是你不对的。
使乜讲，佢以前读书比你叻得多	说实在的，他过去念书比你聪明得多。
呢个工程师好使得	这位工程师很能干。
呢樽药好使得	这瓶药很见效。
你因住佢使横手	你当心他雇打手害你。
会使牛	会犁田耙田
佢好识使牛	他很会犁田耙田。
一个月要几多使用	一个月要多少费用? 
使用好大	开支很大。
呢次使费唔少啩	这次费用不少吧?
做乜都要使钱	做什么都要花钱。
有意见可以提，唔好使颈	有意见可以提，不要使性子
使颈系唔得㗎	耍脾气是不行的。
顺风使𢃇	顺风使舵。
呢度嘅例牌就系噉嘅	这里的惯例就是这样。
我噉做例牌啦	这样做是依照惯例的
边个都要遵守例规	谁都要遵守规矩。
一个月收入除咗供楼就剩番冇几多钱喇	一个月的收入除了交房贷，就所剩无几了。
依时依候嚟到	准时到。
就依足你嘞，又点样吖	全依了你了，又怎么样?
佢侧侧膊想松人	他想闪身溜走。
你咪想侧膊呀	你别想推卸责任。
佢成日都喺我侧跟	他整天都在我的旁边。
学校侧边有间工厂	学校旁边有一家工厂
坐喺侧边	坐在旁边。
呢条友打扮得好侨	这家伙打扮得很洋。
佢屋企好侨	他家里陈设得很舒适。
好侨	很好!
 你真侲，系要噉样做，唔会改变下侲咩	你真呆板，一定要这么干，不会改变一下吗! 
侵啲油落去	加点油下去。
侵我一齐玩啦	让我参加一块儿玩吧
侵埋佢啦	让他一起参加吧。
两便种咗好多树	两边种了很多树
你企呢便，我企嗰便	你站这边，我站那边
便便都有人站岗	几方面都有人站岗。
我真保你大咯	我真的服了你了。
修整水喉	修理水龙头。
够钟喇，重咁修游	到点了，还那么慢腾腾! 
够时间，修修游游去都未迟	时间足够，慢慢去也不忙。
一到春天就断粮，要倒吊砂煲咯	一到春天就断粮，揭不开锅了。
个个都系噉，系你倒拗嘅嗻	大家都这样，就是你跟大家对着干。
个相倒掟咗	相片挂倒了
倒掟噉吊住	倒过来吊着。
你支笔拧倒掟头喇	你的笔拿颠倒了。
开完会，班学生好似倒泻箩蟹噉乱走	开完会之后，学生们纷纷四散。
人哋帮你，你倒翻转重话人	人家帮你，你反而说人家。
后面有人，唔好倒褪	后面有人，不要后退。
呢个字倒转挂喇	这个字挂倒了。
车要倒转头停至啱	车要调头停才对。
倔尾鸡	秃尾巴鸡
笔写到倔晒	笔写秃了
佢嘅性情好倔	他的脾气很倔强。
倔佢一眼	瞪了他一眼。
睇你讲话倔声倔气，好似嗌交噉	看你说话粗声大气，像吵架似的。
呢度好多倔头路，唔容易行得出去	这里很多死胡同，不容易出去
我劝你谂清楚，唔好走倔头路呀	我劝你想清楚，不要走死路。
人哋几次请你都唔去，太倔情喇啩	人家几次请你都不去，太无情了吧?
条棍倔擂槌，唔插得入去	棍子秃秃的，插不进去。
呢条巷系倔笃嘅，唔出得去	这条小巷是不通的，出不去
唔通行到倔笃啦	难道走到尽头了?
呢条巷系倔笼嘅	这条胡同是不通的。
佢细细个就冇咗倚傍	他从小就失去依靠
呢度我人生路不熟，倚傍边个	在这里我人地生疏，依靠谁呀?
失咗倚凭	失去靠山。
佢借头借路都话要去	他千方百计找借口要去。
佢借意大喊一场	他趁机大哭一场。
唔该借歪一下	对不起请让一让。
唔该借歪啲	借光，借光!
佢想揾你倾下	他想找你谈谈
佢好倾得	他很健谈。
一边唞凉一边倾偈	一边乘凉一边聊天
倾两句偈	谈两句话。
两个人脾性唔啱，大家倾唔埋	两个人性格不合，话不投机。
唔系佢就假嘅	不是他才怪呢
你唔翻去，我唔罚你就假嘅	你不回去，我不罚你才怪呢! 
冇人愿意负责做，讲乜都假啦	没有人愿意负责做，说什么也是白搭
洗油漆你唔用电油，洗极都假啦	洗油漆你不用汽油，怎么洗也是白费劲。
我假假地都系高中毕业生	我总还是个高中毕业生吧。
倾偈	闲谈; 谈心
有乜偈好倾吖	有什么可聊的!
今晚做乜戏	今晚演什么戏?
你真精，揾我嚟做丑人	你真油，让我来做得罪人的人。
出去做世界	出外干抢劫等勾当
畀人做世界	给人干掉
做佢世界	把他干掉。
你系做乜㗎	你是干什么的? 
 做乜唔嚟	为什么不来? 
做乜唔出声	干吗不作声? 
做乜你唔去呀	怎么你不去? 
佢喺度做乜嘢	他在干什么? 
做乜嘢佢唔嚟	为什么他不来? 又说“做乜”。
你日头做乜家伙，搞到要夜晚加班	你白天干什么去，弄得晚上要加班?
做低两个坏蛋	干掉两个坏蛋。
做嘢要实在一啲，唔好净系做光面工夫	做事要实在些，不要光做表面工夫。
为咗呢次谈判，佢做咗唔少功课	为了这次谈判，他做了不少准备工作。
做呢啲工要专门技术，我做唔嚟	做这些工要专门技术，我干不了
我唔系唔肯做，而系做唔嚟	我不是不愿做，而是干不了。
做嘢就唔好倾偈	干活就不要聊天。
你嘅仔做嘢未呀	你儿子工作了没有?
做埋至好走	做完了才能走
重有啲手尾，做埋佢啦	还有一点收尾工作，干完它吧。
佢做埋啲衰嘢，肯定冇好收场	他尽干那些缺德事，肯定没有好下场。
做好做丑要佢服从	好歹要他服从。
我做好心帮佢，点知佢反口咬人	我出于好心帮助他，谁知他反而赖我。
唔做工夫点有饭食	不干活儿哪有饭吃。
我要做工夫，唔得闲	我要干活儿，没空。
呢度系佢做庄	这里是他当总管。
呢件事我做得	这件事我干得了。
呢啲事佢做得嚟嘅	这些事他能够做的
乜佢都话做得嚟	什么他都说干得了。
上级嚟检查，佢就做戏噉做应付	上级来检查，他就做做样子应付。
畀个水缸你做胆，你都唔敢	就算拿个水缸当做胆儿，你也不敢。
有佢做胆你怕乜呀	有他壮胆你怕什么!
要乜冇乜，做鬼做马咩	要什么没什么，还能做什么呀!
佢噉嘅衰样，做鬼都唔灵啦	他这德行，干什么都不行啊。
呢停谷种好	这种稻种好
呢停唔错	这个品种不错。
坐落嚟咁耐你讲咁耐，好停口啰噃	坐下来那么久你说了那么久，该住嘴了
佢食嘢冇停过口	他吃东西没有停过。
佢做埋啲嘅嘢实冇得好死	他尽干些盗窃拐骗的坏事肯定没有好下场。
未开完会佢就偷鸡去街	会还没有开完，他就开小差上街去了
